divorce_date,divorce_type,nationality_man,date_of_birth_man,place_of_birth_man,birth_municipality_man,birth_federal_man,birth_country_man,age_man,residence_municipality_man,residence_federal_man,residence_country_man,monthly_income_man,occupation_man,place_of_residence_man,nationality_woman,date_of_birth_woman,date_of_birth_registration_date_woman,place_of_birth_woman,birth_municipality_woman,birth_federal_woman,birth_country_woman,age_woman,place_of_residence_woman,residence_municipality_woman,residence_federal_woman,residence_country_woman,occupation_woman,monthly_income_woman,date_of_marriage,marriage_certificate_place,marriage_certificate_municipality,marriage_certificate_federal,level_of_education_man,employment_status_man,level_of_education_woman,employment_status_woman,marriage_duration,marriage_duration_months,num_children,custody
06.09.2006,Notwendig,Deutsch,18.12.1975,München,Köln,Leipzig,Deutschland,30.0,München,Essen,Deutschland,2000.0,Arzt,Hamburg,Türkisch,01.08.1983,,Hamburg,Frankfurt am Main,Frankfurt am Main,Deutschland,22.0,Berlin,Stuttgart,Hamburg,Deutschland,Lehrer,1800.0,26.06.2000,Dortmund,Stuttgart,Köln,Sekundarstufe,Arbeiter,Sekundarstufe,Angestellter,5.0,,1.0,
02.01.2000,Freiwillig,Polnisch,,,,,,47.0,,,,,,,Türkisch,,,,,,,41.0,,,,,,,17.02.1977,Berlin,München,München,Vorbereitungsstufe,Einrichtung,Vorbereitungsstufe,Angestellter,,,,
02.01.2005,Notwendig,Spanisch,22.02.2055,Frankfurt am Main,Dortmund,Frankfurt am Main,Deutschland,49.0,,,,,Koch,,Kroatisch,21.03.2047,,Stuttgart,Stuttgart,Frankfurt am Main,Deutschland,57.0,Dortmund,Stuttgart,Stuttgart,Deutschland,Rechtsanwalt,,18.12.1975,Essen,Hamburg,Frankfurt am Main,Vorbereitungsstufe,Arbeiter,,TRABAJADOR POR CUENTA PROPIA EN VIA PUBLICA ,,,,
02.01.2006,Notwendig,Deutsch,20.01.2064,Frankfurt am Main,Berlin,Stuttgart,Deutschland,42.0,Leipzig,Düsseldorf,Deutschland,6000.0,Verkäufer,Frankfurt am Main,Griechisch,,,Frankfurt am Main,Köln,Leipzig,Deutschland,,Dortmund,Essen,Hamburg,Deutschland,Mechaniker,5000.0,12.03.1987,Köln,Düsseldorf,München,Beruflich,Angestellter,Vorbereitungsstufe,Angestellter,18.0,,2.0,Mutter
02.01.2006,Notwendig,Deutsch,30.10.1975,Leipzig,München,München,Deutschland,30.0,Stuttgart,Berlin,Deutschland,18000.0,Verkäufer,Hamburg,Bulgarisch,13.10.1978,,Berlin,Köln,Hamburg,Deutschland,27.0,München,München,Stuttgart,Deutschland,Mechaniker,,14.11.1998,München,München,Stuttgart,Beruflich,Angestellter,Vorbereitungsstufe,Nicht beschäftigt,7.0,,2.0,Mutter
02.01.2006,Notwendig,Spanisch,28.03.2073,Leipzig,Hamburg,Hamburg,Deutschland,32.0,Frankfurt am Main,Essen,Deutschland,,Rechtsanwalt,Stuttgart,Polnisch,14.06.1976,,Berlin,Hamburg,Dortmund,Deutschland,29.0,Köln,Stuttgart,Frankfurt am Main,Deutschland,,,20.01.1995,Stuttgart,Essen,Stuttgart,Sekundarstufe,Angestellter,Sekundarstufe,Nicht beschäftigt,11.0,,2.0,Mutter
02.01.2007,Notwendig,Polnisch,13.12.2070,München,Berlin,Düsseldorf,Deutschland,36.0,Leipzig,Berlin,Deutschland,,Koch,München,Spanisch,11.04.2071,,Hamburg,Hamburg,Düsseldorf,Deutschland,35.0,Berlin,Essen,Köln,Deutschland,Softwareentwickler,,16.08.1991,Düsseldorf,Stuttgart,Köln,Beruflich,Angestellter,Beruflich,Nicht beschäftigt,15.0,,2.0,Mutter
02.01.2007,Notwendig,Kroatisch,17.02.1975,Dortmund,Köln,Hamburg,Deutschland,31.0,Stuttgart,Frankfurt am Main,Deutschland,,Arzt,Köln,Russisch,27.08.1974,,Stuttgart,Stuttgart,Dortmund,Deutschland,32.0,München,Essen,Hamburg,Deutschland,Ingenieur,,17.09.1999,München,Düsseldorf,Düsseldorf,Beruflich,Angestellter,Beruflich,Angestellter,6.0,,1.0,Mutter
02.01.2008,Freiwillig,Bulgarisch,12.02.1976,Berlin,München,München,Deutschland,31.0,Düsseldorf,Hamburg,Deutschland,15000.0,Lehrer,Dortmund,Kroatisch,01.03.1980,28/1/80,Stuttgart,Essen,Hamburg,Deutschland,28.0,Düsseldorf,Düsseldorf,München,Deutschland,Buchhalter,,06.03.2006,Köln,Stuttgart,Dortmund,Beruflich,Angestellter,Beruflich,Nicht beschäftigt,1.0,7.0,,
02.01.2008,Freiwillig,Deutsch,17.11.1976,Stuttgart,Essen,Frankfurt am Main,Deutschland,31.0,Berlin,Dortmund,Deutschland,6000.0,Mechaniker,Essen,Spanisch,13.03.1977,9/12/80,Frankfurt am Main,Hamburg,Stuttgart,Deutschland,30.0,Hamburg,Frankfurt am Main,Düsseldorf,Deutschland,Ingenieur,6000.0,02.09.2001,Essen,Essen,Dortmund,Beruflich,Angestellter,Beruflich,Angestellter,7.0,11.0,,
